# RA DEC VAL WEIGHT SAMPLE
0.459961 0.317663 0.00257671 1 29
0.447696 0.317663 0.460204 1 29
0.453828 0.323148 0.240974 1 29
0.429297 0.312188 0.385233 1 29
0.435429 0.317663 0.333005 1 29
0.423164 0.317663 0.258241 1 29
0.429297 0.323148 0.548923 1 29
0.441563 0.323148 0.505051 1 29
0.447696 0.328643 0.37487 1 29
0.435429 0.328643 0.112263 1 29
0.441563 0.334148 0.197305 1 29
0.466095 0.323148 0.157868 1 29
0.47836 0.334148 -0.267114 1 29
0.484492 0.339664 0.322884 1 29
0.472226 0.339664 0.179917 1 29
0.47836 0.345191 0.273288 1 29
0.453828 0.334148 -0.268257 1 29
0.447696 0.339664 -0.348767 1 29
0.453828 0.345191 -0.0939088 1 29
0.466095 0.345191 0.382986 1 29
0.472226 0.350729 0.0394689 1 29
0.459961 0.350729 0.169788 1 29
0.466095 0.356278 -0.0997182 1 29
0.41703 0.323148 0.581334 1 29
0.423164 0.328643 -0.0137374 1 29
0.410899 0.328643 0.127366 1 28
0.41703 0.334148 0.144924 1 29
0.429297 0.334148 0.573464 1 29
0.435429 0.339664 -0.115602 1 29
0.423164 0.339664 -0.161327 1 29
0.429297 0.345191 0.328032 1 29
0.404765 0.334148 0.291169 1 28
0.410899 0.339664 -0.00128222 1 28
0.398633 0.339664 0.245043 1 28
0.404765 0.345191 0.160931 1 28
0.41703 0.345191 -0.143313 1 29
0.423164 0.350729 0.15383 1 29
0.410899 0.350729 0.214731 1 28
0.41703 0.356278 0.377322 1 29
0.441563 0.345191 0.29096 1 29
0.447696 0.350729 -0.348233 1 29
0.435429 0.350729 0.348912 1 29
0.441563 0.356278 0.651474 1 29
0.453828 0.356278 0.275403 1 29
0.459961 0.36184 0.197236 1 29
0.447696 0.36184 0.98689 1 29
0.453828 0.367411 0.299497 1 29
0.429297 0.356278 0.268088 1 29
0.435429 0.36184 -0.0487899 1 29
0.423164 0.36184 0.287072 1 29
0.429297 0.367411 0.162527 1 29
0.441563 0.367411 0.759792 1 29
0.447696 0.372995 0.58451 1 29
0.435429 0.372995 -0.0378398 1 29
0.441563 0.378593 0.0299358 1 29
0.490625 0.345191 -0.0932885 1 29
0.496758 0.350729 0.135221 1 29
0.484492 0.350729 -0.104462 1 29
0.490625 0.356278 0.20211 1 29
0.50289 0.356278 0.0492779 1 29
0.509024 0.36184 0.0392569 1 29
0.47836 0.356278 0.436655 1 29
0.484492 0.36184 -0.159241 1 29
0.472226 0.36184 -0.159361 1 29
0.47836 0.367411 0.362773 1 29
0.490625 0.367411 -0.235482 1 29
0.496758 0.372995 0.0896313 1 29
0.484492 0.372995 -0.0760947 1 29
0.490625 0.378593 -0.333475 1 29
0.515155 0.367411 0.364252 1 29
0.521289 0.372995 0.257603 1 29
0.509024 0.372995 -0.0131278 1 29
0.515155 0.378593 0.166274 1 29
0.527422 0.378593 0.340441 1 29
0.533554 0.384202 0.694049 1 31
0.521289 0.384202 0.0497682 1 31
0.527422 0.389824 0.274517 1 31
0.50289 0.378593 -0.559746 1 29
0.509024 0.384202 0.113675 1 31
0.496758 0.384202 -0.0853889 1 31
0.50289 0.389824 0.165416 1 31
0.515155 0.389824 0.840786 1 31
0.521289 0.395459 0.731472 1 31
0.509024 0.395459 -0.0997162 1 31
0.515155 0.401107 0.172622 1 31
0.466095 0.367411 -0.278041 1 29
0.472226 0.372995 0.0509434 1 29
0.459961 0.372995 -0.102404 1 29
0.466095 0.378593 0.0684757 1 29
0.47836 0.378593 0.53368 1 29
0.484492 0.384202 -0.0867515 1 31
0.472226 0.384202 -0.0691708 1 31
0.47836 0.389824 -0.213822 1 31
0.453828 0.378593 0.231259 1 29
0.459961 0.384202 -0.0752518 1 31
0.447696 0.384202 -0.269629 1 31
0.453828 0.389824 -0.156856 1 31
0.466095 0.389824 -0.00662506 1 31
0.472226 0.395459 -0.046194 1 31
0.459961 0.395459 0.251045 1 31
0.466095 0.401107 0.133612 1 31
0.490625 0.389824 -0.0436975 1 31
0.496758 0.395459 0.0200785 1 31
0.484492 0.395459 0.298722 1 31
0.490625 0.401107 0.00478375 1 31
0.50289 0.401107 0.119294 1 31
0.509024 0.40677 -0.0039131 1 31
0.496758 0.40677 0.312568 1 31
0.50289 0.412444 0.143504 1 31
0.47836 0.401107 0.899319 1 31
0.484492 0.40677 0.118211 1 31
0.472226 0.40677 0.353826 1 31
0.47836 0.412444 0.122874 1 31
0.490625 0.412444 -0.0155821 1 31
0.496758 0.418135 0.0161365 1 31
0.484492 0.418135 0.296575 1 31
0.490625 0.423839 -0.0671823 1 31
0.545821 0.384202 0.583705 1 31
0.551953 0.389824 -0.128858 1 31
0.539687 0.389824 0.243704 1 31
0.545821 0.395459 -0.109656 1 31
0.533554 0.395459 0.322326 1 31
0.539687 0.401107 -0.127731 1 31
0.527422 0.401107 0.194523 1 31
0.533554 0.40677 0.0410867 1 31
0.521289 0.40677 -0.124833 1 31
0.527422 0.412444 0.219625 1 31
0.539687 0.412444 -0.204138 1 31
0.533554 0.418135 0.0771878 1 31
0.539687 0.423839 -0.0418819 1 31
0.551953 0.423839 -0.425192 1 31
0.545821 0.429557 -0.0147712 1 31
0.56422 0.446806 0.0186098 1 31
0.515155 0.412444 0.322751 1 31
0.521289 0.418135 -0.152953 1 31
0.509024 0.418135 0.318092 1 31
0.515155 0.423839 -0.267817 1 31
0.527422 0.423839 0.221203 1 31
0.533554 0.429557 -0.017939 1 31
0.521289 0.429557 -0.170835 1 31
0.527422 0.435291 -0.206354 1 31
0.50289 0.423839 -0.424238 1 31
0.509024 0.429557 0.0129219 1 31
0.496758 0.429557 -0.183699 1 31
0.50289 0.435291 -0.0750201 1 31
0.515155 0.435291 -0.449571 1 31
0.521289 0.441041 -0.397212 1 31
0.509024 0.441041 -0.010924 1 31
0.515155 0.446806 -0.00909507 1 31
0.539687 0.435291 -0.175859 1 31
0.545821 0.441041 -0.354029 1 31
0.533554 0.441041 0.0486827 1 31
0.539687 0.446806 -0.363104 1 31
0.551953 0.446806 -0.329754 1 31
0.558086 0.452587 0.100515 1 31
0.545821 0.452587 -0.0755553 1 31
0.551953 0.458384 -0.133839 1 31
0.527422 0.446806 0.0982989 1 31
0.533554 0.452587 0.0865338 1 31
0.521289 0.452587 -0.338909 1 31
0.527422 0.458384 -0.0415246 1 31
0.539687 0.458384 0.0159442 1 31
0.545821 0.464198 -0.262882 1 31
0.533554 0.464198 -0.000170052 1 31
0.539687 0.47003 -0.0350643 1 31
0.56422 0.458384 -0.0177825 1 31
0.570351 0.464198 0.0175813 1 31
0.558086 0.464198 0.378408 1 31
0.56422 0.47003 -0.0029375 1 31
0.570351 0.475877 -0.151452 1 31
0.551953 0.47003 -0.0980837 1 31
0.558086 0.475877 0.487401 1 31
0.545821 0.475877 -0.0468915 1 31
0.551953 0.481744 0.0221584 1 31
0.56422 0.481744 -0.227446 1 31
0.570351 0.487628 0.0216001 1 31
0.558086 0.487628 0.0670887 1 31
0.56422 0.49353 -0.303344 1 31
0.576485 0.49353 0.458031 1 31
0.576485 0.505392 0.353539 1 31
0.582617 0.511352 0.42693 1 31
0.3925 0.345191 0.236008 1 28
0.398633 0.350729 0.723319 1 28
0.386367 0.350729 0.070684 1 28
0.3925 0.356278 0.471514 1 28
0.404765 0.356278 0.47167 1 28
0.410899 0.36184 0.127957 1 28
0.398633 0.36184 0.0944453 1 28
0.404765 0.367411 0.12323 1 28
0.380235 0.356278 0.411672 1 28
0.386367 0.36184 0.0243808 1 28
0.374101 0.36184 -0.148381 1 28
0.380235 0.367411 0.13621 1 28
0.3925 0.367411 0.372472 1 28
0.398633 0.372995 0.148271 1 28
0.386367 0.372995 0.479881 1 28
0.3925 0.378593 0.43619 1 28
0.41703 0.367411 0.581371 1 29
0.423164 0.372995 -0.091367 1 29
0.410899 0.372995 0.461868 1 28
0.41703 0.378593 0.0775304 1 29
0.429297 0.378593 -0.0537527 1 29
0.435429 0.384202 -0.135474 1 31
0.423164 0.384202 -0.07386 1 30
0.429297 0.389824 -0.153341 1 30
0.404765 0.378593 0.363703 1 28
0.410899 0.384202 -0.211253 1 30
0.398633 0.384202 -0.0203053 1 30
0.404765 0.389824 0.0788424 1 30
0.41703 0.389824 -0.123887 1 30
0.423164 0.395459 0.094609 1 30
0.410899 0.395459 0.183693 1 30
0.41703 0.401107 0.201246 1 30
0.36797 0.367411 0.390383 1 28
0.374101 0.372995 0.235599 1 28
0.361836 0.372995 -0.0621714 1 28
0.36797 0.378593 0.173171 1 28
0.380235 0.378593 -0.0309858 1 28
0.386367 0.384202 0.287881 1 30
0.374101 0.384202 0.0616254 1 30
0.380235 0.389824 -0.108521 1 30
0.355703 0.378593 0.327896 1 28
0.361836 0.384202 0.0251385 1 30
0.349571 0.384202 -0.225114 1 30
0.355703 0.389824 0.549323 1 30
0.36797 0.389824 -0.351862 1 30
0.361836 0.395459 0.19311 1 30
0.3925 0.389824 0.00239182 1 30
0.398633 0.395459 0.483898 1 30
0.386367 0.395459 0.394958 1 30
0.3925 0.401107 -0.0785556 1 30
0.404765 0.401107 0.175936 1 30
0.410899 0.40677 0.214214 1 30
0.398633 0.40677 0.689847 1 30
0.404765 0.412444 0.115285 1 30
0.386367 0.40677 0.093708 1 30
0.380235 0.412444 0.0925046 1 30
0.3925 0.412444 -0.0267664 1 30
0.398633 0.418135 -0.291274 1 30
0.386367 0.418135 0.207721 1 30
0.3925 0.423839 -0.286346 1 30
0.441563 0.389824 0.0952264 1 31
0.447696 0.395459 0.125057 1 31
0.435429 0.395459 0.125547 1 31
0.441563 0.401107 0.600194 1 31
0.453828 0.401107 -0.101966 1 31
0.459961 0.40677 0.104169 1 31
