#             i             j        cov_ij
            12              5    2.64228e-06
            12              6     2.3439e-06
            12              7    2.49079e-06
            12              8    2.41162e-06
            12              9     2.3284e-06
            12             10     2.2397e-06
            12             11    2.08481e-06
            12             12    1.97487e-06
            12             13    1.73964e-06
            12             14    1.56768e-06
            12             15    1.14116e-06
            12             16    9.78366e-07
            12             17    8.54182e-07
            12             18    7.33259e-07
            12             19    2.34767e-07
            13              0    1.89044e-06
            13              1    2.19099e-06
            13              2    1.72601e-06
            13              3    1.80901e-06
            13              4    2.11232e-06
            13              5    2.23849e-06
            13              6    2.01112e-06
            13              7    2.13893e-06
            13              8    2.06134e-06
            13              9    2.02479e-06
            13             10    1.96589e-06
            13             11    1.84419e-06
            13             12    1.73964e-06
            13             13    1.64315e-06
            13             14    1.48232e-06
            13             15    1.01262e-06
            13             16    8.36766e-07
            13             17    7.42475e-07
            13             18     6.3371e-07
            13             19    1.99994e-07
            14              0    1.75417e-06
            14              1    1.94963e-06
            14              2     1.6117e-06
            14              3    1.64055e-06
            14              4    1.92607e-06
            14              5    2.05189e-06
            14              6    1.82248e-06
            14              7    1.92956e-06
            14              8    1.85323e-06
            14              9    1.83613e-06
            14             10    1.78594e-06
            14             11    1.65965e-06
            14             12    1.56768e-06
            14             13    1.48232e-06
            14             14      1.468e-06
            14             15    1.07069e-06
            14             16    9.08378e-07
            14             17    8.13348e-07
            14             18    6.98057e-07
            14             19    3.06132e-07
            15              0    1.25716e-06
            15              1    1.33415e-06
            15              2    1.19143e-06
            15              3     1.2136e-06
            15              4    1.46291e-06
            15              5    1.56645e-06
            15              6    1.36136e-06
            15              7    1.41992e-06
            15              8    1.40287e-06
            15              9    1.38459e-06
            15             10    1.33734e-06
            15             11    1.21016e-06
            15             12    1.14116e-06
            15             13    1.01262e-06
            15             14    1.07069e-06
            15             15    9.06417e-07
            15             16    7.88535e-07
            15             17    7.14192e-07
            15             18    5.86309e-07
            15             19    2.86593e-07
            16              0    1.12314e-06
            16              1    1.20657e-06
            16              2    1.13256e-06
            16              3    1.20125e-06
            16              4    1.40901e-06
            16              5    1.47653e-06
            16              6    1.28452e-06
            16              7    1.30469e-06
            16              8    1.28282e-06
            16              9    1.23395e-06
            16             10    1.18068e-06
            16             11    1.06197e-06
            16             12    9.78366e-07
            16             13    8.36766e-07
            16             14    9.08378e-07
            16             15    7.88535e-07
            16             16    7.82281e-07
            16             17    6.56315e-07
            16             18    5.30252e-07
            16             19    2.91167e-07
            17              0    8.75168e-07
            17              1    9.56667e-07
            17              2    9.22222e-07
            17              3    9.67352e-07
            17              4    1.20668e-06
            17              5    1.28864e-06
            17              6    1.11744e-06
            17              7     1.2068e-06
            17              8    1.17956e-06
            17              9    1.12338e-06
            17             10    1.09724e-06
            17             11    9.44958e-07
            17             12    8.54182e-07
            17             13    7.42475e-07
            17             14    8.13348e-07
            17             15    7.14192e-07
            17             16    6.56315e-07
